periodo,id_empresa,seccion_economica,gastos_totales,gasto_gestion_amb,consumo_agua_m3,consumo_energia_kwh,actividad_nombre
2020,12366,Auxiliares Del Transporte,136971770,1908989,1,0,0
2020,10017,Auxiliares Del Transporte,136971770,1908989,1,0,0
2020,12283,Auxiliares Del Transporte,136971771,1908990,1,0,0
2020,14588,Auxiliares Del Transporte,32549555,760566,1,0,0
2020,12790,Auxiliares Del Transporte,27354483,651317,1,0,0
2020,18195,Auxiliares Del Transporte,15846189,606237,1,0,0
2020,13646,Auxiliares Del Transporte,93854957,495574,0,0,0
2020,15093,Auxiliares Del Transporte,14758560,489657,1,0,0
2020,13350,Auxiliares Del Transporte,215933508,488764,1,0,0
2020,10210,Auxiliares Del Transporte,22938506,473211,1,0,0
2020,15073,Auxiliares Del Transporte,39220103,430665,1,0,0
2020,10436,Auxiliares Del Transporte,55348234,417347,0,0,0
2020,15102,Auxiliares Del Transporte,8948713,407140,1,0,0
2020,18513,Auxiliares Del Transporte,10862696,376394,0,0,0
2020,18156,Auxiliares Del Transporte,18584344,343240,1,0,0
2020,18483,Auxiliares Del Transporte,118859276,338401,0,0,0
2020,15074,Auxiliares Del Transporte,73025387,306266,1,0,0
2020,10273,Auxiliares Del Transporte,24964465,303325,1,0,0
2020,17974,Auxiliares Del Transporte,28695691,276438,1,0,0
2020,14253,Auxiliares Del Transporte,22632157,264000,1,0,0
2020,13349,Auxiliares Del Transporte,10181803,263894,0,0,0
2020,14683,Auxiliares Del Transporte,23400253,248328,1,0,0
2020,19789,Auxiliares Del Transporte,14241843,221246,1,0,0
2020,19708,Auxiliares Del Transporte,2399064,200000,0,0,0
2020,10429,Auxiliares Del Transporte,51937915,179079,0,0,0
2020,13233,Auxiliares Del Transporte,67401151,147975,0,0,0
2020,11491,Auxiliares Del Transporte,33325312,135238,1,0,0
2020,18282,Auxiliares Del Transporte,32290560,131351,0,0,0
2020,14582,Auxiliares Del Transporte,89187830,116882,1,0,0
2020,14228,Auxiliares Del Transporte,106354880,112000,1,0,0
2020,18385,Auxiliares Del Transporte,75787203,100511,1,0,0
2020,11830,Auxiliares Del Transporte,18813821,99849,0,0,0
2020,10430,Auxiliares Del Transporte,57321514,98000,0,0,0
