periodo,id_empresa,seccion_economica,gastos_totales,gasto_gestion_amb,consumo_agua_m3,consumo_energia_kwh,actividad_nombre
2019,10001,Alojamiento,2287702,0,0,0,0
2019,10002,Alojamiento,5020785,0,0,0,0
2019,10003,Alojamiento,15309856,0,0,0,0
2019,10004,Alojamiento,8978494,0,0,0,0
2019,10005,Expendio De Alimentos,29103165,227327,1,1,0
2019,10006,Expendio De Alimentos,103879862,0,0,0,0
2019,10007,Expendio De Alimentos,1356241,0,0,0,0
2019,10008,Expendio De Alimentos,20139069,0,0,0,0
2019,10013,Auxiliares Del Transporte,35200650,0,0,0,0
2019,10015,Auxiliares Del Transporte,12650815,0,0,0,0
2019,10017,Auxiliares Del Transporte,268590426,1161494,0,1,0
2019,10018,Auxiliares Del Transporte,7400310,20638,1,0,0
2019,10019,Agencias De Viajes,4221926,0,0,0,0
2019,10020,Agencias De Viajes,3718166,0,0,0,0
2019,10021,Auxiliares Del Transporte,5930705,0,0,0,0
2019,10022,Auxiliares Del Transporte,10054924,0,0,0,0
2019,10023,Auxiliares Del Transporte,2801586,0,0,0,0
2019,10024,Auxiliares Del Transporte,2820991,0,0,0,0
2019,10025,Auxiliares Del Transporte,2891009,0,0,0,0
2019,10026,Actividades De Telecomunicaciones,1617514,0,0,0,0
2019,10027,Actividades De Telecomunicaciones,82902482,0,0,0,0
2019,10028,Actividades De Telecomunicaciones,83634663,0,0,0,0
2019,10029,Alojamiento,15468364,0,0,0,0
2019,10030,Inmobiliarias Y Alquileres,3141903,0,0,0,0
2019,10032,Obtencion Y Suministro De Personal,134331,0,0,0,0
2019,10033,"Actividades Profesionales, Cientificas",78514855,0,0,0,0
2019,10034,"Actividades Profesionales, Cientificas",19485784,0,0,0,0
2019,10035,"Actividades Profesionales, Cientificas",9022971,0,0,0,0
2019,10036,"Actividades Profesionales, Cientificas",3543130,0,0,0,0
2019,10038,"Actividades Profesionales, Cientificas",12699241,0,0,0,0
2019,10040,"Actividades Profesionales, Cientificas",127832703,0,0,0,0
2019,10041,Obtencion Y Suministro De Personal,5585642,0,0,0,0
2019,10043,Obtencion Y Suministro De Personal,5907149,0,0,0,0
2019,10044,Obtencion Y Suministro De Personal,22475868,0,0,0,0
2019,10045,Obtencion Y Suministro De Personal,1498847,0,0,0,0
