periodo,id_empresa,seccion_economica,gastos_totales,gasto_gestion_amb,consumo_agua_m3,consumo_energia_kwh,actividad_nombre
2023,10429,Auxiliares Del Transporte,141276673,331267,27324.0,5627314.0,0
2023,10213,Auxiliares Del Transporte,141276673,331267,27324.0,5627314.0,0
2023,13851,Auxiliares Del Transporte,141276673,331267,27324.0,5627314.0,0
2023,10439,Auxiliares Del Transporte,34597790,180809,39238.0,986853.0,0
2023,13853,Auxiliares Del Transporte,34597790,180809,39238.0,986853.0,0
2023,15179,Auxiliares Del Transporte,34597790,180809,39238.0,986853.0,0
2023,14582,Auxiliares Del Transporte,121736197,4095057,221641.0,12643222.0,0
2023,18467,Auxiliares Del Transporte,121736197,4095057,221641.0,12643222.0,0
2023,12366,Auxiliares Del Transporte,121736197,4095057,221641.0,12643222.0,0
2023,12790,Auxiliares Del Transporte,472037682,3922955,377712.0,14608753.0,0
2023,12283,Auxiliares Del Transporte,472037682,3922955,377712.0,14608753.0,0
2023,14588,Auxiliares Del Transporte,472037682,3922955,377712.0,14608753.0,0
2023,15102,Auxiliares Del Transporte,128445651,1688754,67264.0,16341793.0,0
2023,14604,Auxiliares Del Transporte,128445651,1688754,67264.0,16341793.0,0
2023,19789,Auxiliares Del Transporte,128445651,1688754,67264.0,16341793.0,0
2023,17868,Auxiliares Del Transporte,69099265,345770,6983.0,1146643.0,0
2023,14601,Auxiliares Del Transporte,69099265,345770,6983.0,1146643.0,0
2023,13233,Auxiliares Del Transporte,69099265,345770,6983.0,1146643.0,0
2023,18549,Postales Y Correos,99311005,105706,22042.0,566872.0,0
2023,18375,Postales Y Correos,99311005,105706,22042.0,566872.0,0
2023,10521,Postales Y Correos,99311005,105706,22042.0,566872.0,0
2023,12233,Postales Y Correos,211777035,181654,28263.0,2942730.0,0
2023,10523,Postales Y Correos,211777035,181654,0.0,2942730.0,0
2023,10531,Postales Y Correos,211777035,181654,28263.0,2942730.0,0
2023,14858,Alojamiento,198351931,2522696,472936.0,17178666.0,0
2023,13323,Alojamiento,198351931,2522696,472936.0,17178666.0,0
2023,14567,Alojamiento,198351931,2522696,472936.0,17178666.0,0
2023,19580,Alojamiento,2890036,4596,11789.0,123327.0,0
2023,11708,Alojamiento,2890036,4596,11789.0,123327.0,0
2023,17552,Alojamiento,2890036,4596,11789.0,123327.0,0
2023,14501,Alojamiento,16880630,224716,15682.0,517250.0,0
2023,14807,Alojamiento,16880630,224716,15682.0,517250.0,0
2023,10209,Alojamiento,16880630,224716,15682.0,517250.0,0
2023,20449,Alojamiento,534672,0,997.0,31882.0,0
2023,19488,Alojamiento,534672,0,997.0,31882.0,0
2023,14555,Alojamiento,534672,0,997.0,31882.0,0
2023,14120,Alojamiento,4236670,0,81854.0,509834.0,0
2023,20221,Alojamiento,4236670,0,81854.0,509834.0,0
2023,13564,Alojamiento,2260455,4942,9587.0,212840.0,0
2023,13801,Alojamiento,2260455,4942,9587.0,212840.0,0
2023,14668,Alojamiento,2260455,4942,9587.0,212840.0,0
2023,14399,Alojamiento,10383070,0,71345.0,97000.0,0
2023,10400,Expendio De Alimentos,463324584,742015,92546.0,13068022.0,0
2023,13828,Expendio De Alimentos,463324584,742015,92546.0,13068022.0,0
2023,10388,Expendio De Alimentos,463324584,742015,92546.0,13068022.0,0
2023,10005,Expendio De Alimentos,159530651,290524,84037.0,5979423.0,0
2023,12386,Expendio De Alimentos,159530651,290524,84037.0,5979423.0,0
2023,20472,Expendio De Alimentos,159530651,290524,84037.0,5979423.0,0
2023,17696,Expendio De Alimentos,75078241,39409,16209.0,2460577.0,0
2023,20337,Expendio De Alimentos,75078241,39409,16209.0,2460577.0,0
2023,13031,Expendio De Alimentos,75078241,39409,16209.0,2460577.0,0
2023,17918,Expendio De Alimentos,16034531,13672,5153.0,307465.0,0
2023,17841,Expendio De Alimentos,16034531,13672,5153.0,307465.0,0
2023,20577,Expendio De Alimentos,16034531,13672,5153.0,307465.0,0
2023,21052,Expendio De Alimentos,10422371,37515,1163.0,23810.0,0
2023,18403,Expendio De Alimentos,10422371,37515,1163.0,23810.0,0
2023,15031,Expendio De Alimentos,10422371,37515,1163.0,23810.0,0
2023,10347,Expendio De Alimentos,356120527,662460,29187.0,1680438.0,0
2023,13837,Expendio De Alimentos,356120527,662460,29187.0,1680438.0,0
2023,15193,Expendio De Alimentos,356120527,662460,29187.0,1680438.0,0
2023,14298,Expendio De Alimentos,90699114,43249,34471.0,2206093.0,0
2023,10406,Expendio De Alimentos,90699114,43249,34471.0,2206093.0,0
2023,18899,Expendio De Alimentos,90699114,43249,34471.0,2206093.0,0
2023,17649,Edicion,24181236,17644,642.0,87262.0,0
2023,17641,Edicion,24181236,17644,642.0,87262.0,0
2023,17776,Edicion,24181236,17644,642.0,87262.0,0
2023,17650,Edicion,11300593,0,0.0,152400.0,0
2023,17613,Edicion,84802642,134220,5381.0,2164832.0,0
2023,17607,Edicion,84802642,134220,5381.0,2164832.0,0
2023,17609,Edicion,84802642,134220,5381.0,2164832.0,0
2023,18622,Edicion,22454630,29288,633.0,244892.0,0
2023,17655,Edicion,22454630,29288,633.0,244892.0,0
2023,19867,Edicion,22454630,29288,633.0,244892.0,0
2023,13106,"Produccion, Distribucion Y Exhibicion",15094421,217,1247.0,17673.0,0
2023,10892,"Produccion, Distribucion Y Exhibicion",15094421,217,1247.0,17673.0,0
2023,18680,"Produccion, Distribucion Y Exhibicion",15094421,217,1247.0,17673.0,0
2023,11231,"Produccion, Distribucion Y Exhibicion",5247011,0,603.0,107052.0,0
2023,20691,"Produccion, Distribucion Y Exhibicion",5247011,0,603.0,107052.0,0
2023,19451,"Produccion, Distribucion Y Exhibicion",289557896,0,0.0,0.0,0
2023,11250,"Produccion, Distribucion Y Exhibicion",289557896,0,216.0,1104.0,0
2023,19545,"Produccion, Distribucion Y Exhibicion",289557896,0,0.0,0.0,0
2023,11892,"Produccion, Distribucion Y Exhibicion",208142424,3120,56529.0,8745273.0,0
2023,10169,"Produccion, Distribucion Y Exhibicion",208142424,3120,56529.0,8745273.0,0
2023,11417,"Produccion, Distribucion Y Exhibicion",208142424,3120,56529.0,8745273.0,0
2023,17818,"Produccion, Distribucion Y Exhibicion",31746808,0,270.0,5194.0,0
2023,17661,"Produccion, Distribucion Y Exhibicion",31746808,0,0.0,0.0,0
2023,17819,"Produccion, Distribucion Y Exhibicion",31746808,0,270.0,5194.0,0
2023,14287,Prog Y Trans De Radio Y Television,76737071,782,1784.0,5504555.0,0
2023,14081,Prog Y Trans De Radio Y Television,76737071,782,1784.0,5504555.0,0
2023,15399,Prog Y Trans De Radio Y Television,76737071,782,1784.0,5504555.0,0
2023,13496,Prog Y Trans De Radio Y Television,528410650,209830,13323.0,4670055.0,0
2023,11421,Prog Y Trans De Radio Y Television,528410650,209830,13323.0,4670055.0,0
2023,11426,Prog Y Trans De Radio Y Television,528410650,209830,13323.0,4670055.0,0
2023,11440,Prog Y Trans De Radio Y Television,10986991,0,0.0,0.0,0
2023,15390,Prog Y Trans De Radio Y Television,10986991,0,420.0,57247.0,0
2023,10550,Actividades De Telecomunicaciones,978466418,3122280,38161.0,45637644.0,0
2023,13871,Actividades De Telecomunicaciones,978466418,3122280,38161.0,45637644.0,0
2023,13872,Actividades De Telecomunicaciones,978466418,3122280,38161.0,45637644.0,0
2023,11908,Actividades De Telecomunicaciones,2440061316,862671,57812.0,130031932.0,0
2023,10548,Actividades De Telecomunicaciones,2440061316,862671,57812.0,130031932.0,0
2023,10549,Actividades De Telecomunicaciones,2440061316,862671,57812.0,130031932.0,0
2023,10559,Actividades De Telecomunicaciones,84551820,6791,32.0,0.0,0
2023,10533,Actividades De Telecomunicaciones,84551820,6791,5963.0,741509.0,0
2023,10563,Actividades De Telecomunicaciones,84551820,6791,5964.0,741508.0,0
2023,18174,Actividades De Telecomunicaciones,106191323,951241,3486.0,218978.0,0
2023,10027,Actividades De Telecomunicaciones,106191323,951241,3486.0,218978.0,0
2023,20755,Actividades De Telecomunicaciones,106191323,951241,3486.0,218978.0,0
2023,19603,Inform Y Serv De Informacion,13192367,0,0.0,0.0,0
2023,20927,Inform Y Serv De Informacion,13192367,0,1134.0,6432.0,0
2023,20948,Inform Y Serv De Informacion,13192367,0,1135.0,6432.0,0
2023,20857,Inform Y Serv De Informacion,379866002,273821,1445.0,330543.0,0
2023,12481,Inform Y Serv De Informacion,379866002,273821,1445.0,330543.0,0
2023,10700,Inform Y Serv De Informacion,379866002,273821,1444.0,330543.0,0
2023,19364,Inform Y Serv De Informacion,179848843,586239,4798.0,439642.0,0
2023,13900,Inform Y Serv De Informacion,179848843,586239,4797.0,439642.0,0
2023,12186,Inform Y Serv De Informacion,179848843,586239,4797.0,439642.0,0
2023,12480,Inform Y Serv De Informacion,124145958,26145,962.0,510294.0,0
2023,15859,Inform Y Serv De Informacion,124145958,26145,0.0,510294.0,0
2023,19392,Inform Y Serv De Informacion,124145958,26145,962.0,510294.0,0
2023,18016,Inform Y Serv De Informacion,127516584,177900,7168.0,931807.0,0
2023,20003,Inform Y Serv De Informacion,127516584,177900,0.0,0.0,0
2023,10681,Inform Y Serv De Informacion,127516584,177900,7167.0,931807.0,0
2023,20781,Inform Y Serv De Informacion,183451823,39417,2419.0,323889.0,0
2023,20764,Inform Y Serv De Informacion,183451823,39417,2419.0,323889.0,0
2023,20340,Inform Y Serv De Informacion,183451823,39417,2418.0,323888.0,0
2023,20925,Inform Y Serv De Informacion,14161117,34119,45.0,35345.0,0
2023,18864,Inform Y Serv De Informacion,14161117,34119,0.0,35345.0,0
2023,12878,Inform Y Serv De Informacion,14161117,34119,45.0,35345.0,0
2023,18208,Inmobiliarias Y Alquileres,39076873,616418,93345.0,3158740.0,0
2023,13369,Inmobiliarias Y Alquileres,39076873,616418,93345.0,3158740.0,0
2023,13132,Inmobiliarias Y Alquileres,39076873,616418,93345.0,3158740.0,0
2023,18681,Inmobiliarias Y Alquileres,27316213,544186,66267.0,3359426.0,0
2023,19121,Inmobiliarias Y Alquileres,27316213,544186,66267.0,3359426.0,0
2023,11696,Inmobiliarias Y Alquileres,27316213,544186,66267.0,3359426.0,0
2023,13844,Inmobiliarias Y Alquileres,415732901,57001,8027.0,481592.0,0
2023,13257,Inmobiliarias Y Alquileres,415732901,57001,8027.0,481592.0,0
2023,11741,Inmobiliarias Y Alquileres,415732901,57001,8027.0,481592.0,0
